Symbol,Date,Open,High,Low,Close,Volume
206560,2016-02-23,12817,13644,12616,12943,571573
206560,2016-02-24,13293,14246,13093,13845,698601
206560,2016-02-25,13745,13845,12792,12867,409293
206560,2016-02-26,12917,12942,11889,12040,485917
206560,2016-02-29,12114,12290,11663,11914,226123
206560,2016-03-02,12039,12315,11889,12065,208560
206560,2016-03-03,12139,12741,12114,12642,277719
206560,2016-03-04,12792,12867,12315,12341,204105
206560,2016-03-07,12390,12892,11914,11989,286084
206560,2016-03-08,11989,12240,11537,11688,159921
206560,2016-03-09,11813,11964,11588,11914,93026
206560,2016-03-10,12064,12340,11788,12341,231036
206560,2016-03-11,12190,12290,11863,12014,125994
206560,2016-03-14,12139,12265,11638,11638,166081
206560,2016-03-15,11688,11688,11086,11237,192749
206560,2016-03-16,11236,11462,11036,11086,102622
206560,2016-03-17,11186,11387,10935,11011,192234
206560,2016-03-18,11111,11186,10885,10986,100633
206560,2016-03-21,11036,11036,10308,10409,573649
206560,2016-03-22,10384,10685,10258,10510,323212
206560,2016-03-23,10660,11562,10484,11287,764218
206560,2016-03-24,11362,11362,10935,11287,204652
206560,2016-03-25,11387,11638,11236,11387,259209
206560,2016-03-28,11437,11462,11061,11312,130919
206560,2016-03-29,11337,11537,11036,11237,201063
206560,2016-03-30,11287,11337,10810,10986,305198
206560,2016-03-31,11061,11161,10534,10660,268231
206560,2016-04-01,10760,11562,10634,11413,522705
206560,2016-04-04,11512,12064,11312,12040,460403
206560,2016-04-05,12039,12190,11688,12115,230501
206560,2016-04-06,12014,12290,11838,12140,230516
206560,2016-04-07,12190,12265,11688,12140,310805
206560,2016-04-08,11989,12014,11738,11789,150112
206560,2016-04-11,11914,11914,11287,11387,224041
206560,2016-04-12,11362,11688,11337,11488,179232
206560,2016-04-14,11487,11763,11412,11663,178727
206560,2016-04-15,11688,11688,11111,11112,230583
206560,2016-04-18,11061,11387,10785,11387,154925
206560,2016-04-19,11312,11337,11186,11212,85050
206560,2016-04-20,11236,11337,11036,11061,84888
206560,2016-04-21,11136,11537,11061,11538,146218
206560,2016-04-22,11588,11663,11312,11387,158699
206560,2016-04-25,11412,11537,11161,11287,142760
206560,2016-04-26,11312,11312,11111,11137,79004
206560,2016-04-27,11136,11387,11111,11162,140860
206560,2016-04-28,11236,11312,11036,11237,142986
206560,2016-04-29,11236,11262,11036,11237,111867
206560,2016-05-02,11312,11914,11287,11789,703597
206560,2016-05-03,11838,11838,11362,11413,294812
206560,2016-05-04,11337,11337,11061,11086,196534
206560,2016-05-09,11086,11312,10961,10961,181287
206560,2016-05-10,10986,11111,10860,10911,124681
206560,2016-05-11,11061,11086,10935,11011,104891
206560,2016-05-12,10885,11061,10860,10936,83649
206560,2016-05-13,10935,11613,10935,11538,338419
206560,2016-05-16,11537,11537,11312,11488,139338
206560,2016-05-17,11588,12089,11387,12065,460592
206560,2016-05-18,12139,12315,11863,11914,405712
206560,2016-05-19,11989,12164,11437,11438,296529
206560,2016-05-20,11512,11713,11262,11613,149946
206560,2016-05-23,11638,11638,11362,11463,122387
206560,2016-05-24,11512,11914,11462,11688,220411
206560,2016-05-25,11863,11863,11613,11688,131086
206560,2016-05-26,11738,11763,11211,11287,174440
206560,2016-05-27,11337,11412,10935,11011,202367
206560,2016-05-30,11086,11437,11011,11086,184793
206560,2016-05-31,11086,11362,11011,11337,111879
206560,2016-06-01,11287,11437,11136,11287,94367
206560,2016-06-02,11287,11312,11061,11112,107271
206560,2016-06-03,11136,11186,10885,10986,134724
206560,2016-06-07,11036,11287,11036,11187,124114
206560,2016-06-08,11186,11412,11086,11387,137998
206560,2016-06-09,11462,11462,11061,11187,111642
206560,2016-06-10,11136,11763,11086,11463,282585
206560,2016-06-13,11337,11337,11086,11137,126870
206560,2016-06-14,11111,11287,11036,11212,115913
206560,2016-06-15,11161,11437,11161,11287,100622
206560,2016-06-16,11312,11412,10986,11036,113503
206560,2016-06-17,11161,11186,10986,11011,87575
206560,2016-06-20,11136,11186,11036,11061,65205
206560,2016-06-21,11111,11136,10860,10961,92059
206560,2016-06-22,10935,11186,10860,11011,93444
206560,2016-06-23,10935,10986,10534,10560,162955
206560,2016-06-24,10785,10810,9104,9632,390917
206560,2016-06-27,9280,9957,9180,9682,154318
206560,2016-06-28,9706,10032,9531,9933,117855
206560,2016-06-29,10083,10384,9957,10108,116748
206560,2016-06-30,10308,10434,10133,10158,51408
206560,2016-07-01,10208,10434,10183,10284,81073
206560,2016-07-04,10685,10760,10434,10484,127765
206560,2016-07-05,10534,10634,10384,10510,68753
206560,2016-07-06,10534,10609,10283,10409,85608
206560,2016-07-07,10409,10685,10409,10635,60305
206560,2016-07-08,10660,10710,10333,10334,69552
206560,2016-07-11,10384,10634,10333,10610,81323
206560,2016-07-12,11036,11161,10634,10635,161000
206560,2016-07-13,10785,11537,10660,11337,431478
206560,2016-07-14,11537,11863,11287,11337,386978
206560,2016-07-15,11487,11562,11262,11362,187867
206560,2016-07-18,11688,11813,11287,11337,368572
206560,2016-07-19,11262,11437,10860,10861,196708
206560,2016-07-20,10935,11387,10910,11137,150131
206560,2016-07-21,11136,11362,11011,11036,116400
206560,2016-07-22,11186,11236,10810,11237,122774
206560,2016-07-25,11337,11387,11011,11061,77147
206560,2016-07-26,11061,11086,10910,10986,52117
206560,2016-07-27,10986,11111,10935,10961,71235
206560,2016-07-28,11036,11211,10986,11061,93890
206560,2016-07-29,11036,11061,10910,10911,56497
206560,2016-08-01,11161,11588,11061,11538,266107
206560,2016-08-02,11387,11437,11086,11187,149630
206560,2016-08-03,11186,11186,10710,10760,162194
206560,2016-08-04,10710,10885,10660,10861,51302
206560,2016-08-05,10760,10860,10434,10484,120783
206560,2016-08-08,10359,10509,10083,10484,124698
206560,2016-08-09,10509,10559,10384,10409,36810
206560,2016-08-10,10359,10584,10333,10585,26879
206560,2016-08-11,10609,10660,10459,10459,32212
206560,2016-08-12,10609,10609,10359,10459,36241
206560,2016-08-16,10459,10459,10133,10133,69641
206560,2016-08-17,10133,10283,10108,10133,38818
206560,2016-08-18,10108,10208,9882,10008,62107
206560,2016-08-19,9932,10133,9932,10033,28961
206560,2016-08-22,9957,10133,9957,10108,21365
206560,2016-08-23,10058,10283,10032,10158,31371
206560,2016-08-24,10158,10283,10007,10033,26991
206560,2016-08-25,10032,10032,9832,9832,43405
206560,2016-08-26,9581,9807,9531,9581,113627
206560,2016-08-29,9506,9581,9230,9431,73690
206560,2016-08-30,9531,10058,9531,9707,108525
206560,2016-08-31,9606,9832,9506,9581,43988
206560,2016-09-01,9757,10032,9581,10033,59932
206560,2016-09-02,10058,10133,9932,10008,25872
206560,2016-09-05,10108,10108,9882,10008,30111
206560,2016-09-06,10058,10108,9706,9857,50135
206560,2016-09-07,10208,10434,10032,10108,147619
206560,2016-09-08,10133,10283,9706,9832,69769
206560,2016-09-09,9832,10007,9731,10008,50404
206560,2016-09-12,9757,9857,9681,9682,54193
206560,2016-09-13,9681,9832,9631,9632,22411
206560,2016-09-19,9631,10083,9606,9782,56473
206560,2016-09-20,10032,10058,9832,9908,33615
206560,2016-09-21,9907,9957,9731,9807,29805
206560,2016-09-22,9907,9957,9731,9807,44173
206560,2016-09-23,9882,9907,9731,9882,47983
206560,2016-09-26,9857,10083,9782,10058,47481
206560,2016-09-27,10007,10058,9907,10008,34346
206560,2016-09-28,10007,10133,9907,9958,29997
206560,2016-09-29,9957,10058,9907,9958,38447
206560,2016-09-30,9932,9982,9782,9832,36069
206560,2016-10-04,9932,10007,9807,9933,25760
206560,2016-10-05,9982,10007,9807,9807,29666
206560,2016-10-06,9857,10058,9782,10008,39623
206560,2016-10-07,10007,10434,9957,10259,172768
206560,2016-10-10,10308,10409,10158,10284,70925
206560,2016-10-11,10333,10509,10308,10434,69303
206560,2016-10-12,10384,10534,10258,10535,67386
206560,2016-10-13,10534,10760,10534,10710,80396
206560,2016-10-14,10609,10835,10308,10309,91879
206560,2016-10-17,10283,10283,9857,9882,81377
206560,2016-10-18,9882,10208,9882,10108,49332
206560,2016-10-19,10108,10208,10007,10083,19630
206560,2016-10-20,10183,10183,9932,9958,25868
206560,2016-10-21,9907,10007,9757,9882,32918
206560,2016-10-24,9882,10007,9782,9807,22581
206560,2016-10-25,9757,9907,9506,9807,60438
206560,2016-10-26,9656,9782,9531,9581,37382
206560,2016-10-27,9531,9731,9531,9707,19955
206560,2016-10-28,9656,9807,9656,9732,17072
206560,2016-10-31,9757,9757,9405,9506,38367
206560,2016-11-01,9280,9681,9280,9531,35524
206560,2016-11-02,9456,9556,9054,9255,50157
206560,2016-11-03,9054,9305,8829,8879,60459
206560,2016-11-04,8803,8879,8201,8528,105922
206560,2016-11-07,8628,8854,8427,8779,44418
206560,2016-11-08,8829,8979,8753,8779,25529
206560,2016-11-09,8854,8854,7775,8177,161894
206560,2016-11-10,8377,8628,8327,8628,41803
206560,2016-11-11,8477,8553,8402,8403,25713
206560,2016-11-14,8402,8728,8327,8603,29453
206560,2016-11-15,8728,8728,8502,8528,15911
206560,2016-11-16,8553,8653,8352,8453,55592
206560,2016-11-17,8452,8477,8327,8403,19337
206560,2016-11-18,8402,8402,7976,8077,76347
206560,2016-11-21,7951,7951,7273,7324,195686
206560,2016-11-22,7474,7474,6972,7023,130262
206560,2016-11-23,7048,7098,6671,6923,119747
206560,2016-11-24,6822,6922,6621,6647,97559
206560,2016-11-25,6571,7023,6571,6898,81602
206560,2016-11-28,6897,7173,6697,6998,90704
206560,2016-11-29,6872,7098,6747,6873,78006
206560,2016-11-30,6847,7650,6847,7399,251777
206560,2016-12-01,7298,7599,7223,7475,128583
206560,2016-12-02,7474,7474,7123,7324,126839
206560,2016-12-05,7424,8277,7349,7851,415818
206560,2016-12-06,7976,8302,7875,8302,182068
206560,2016-12-07,8352,8979,8327,8829,290858
206560,2016-12-08,9405,9481,8402,8829,396201
206560,2016-12-09,8854,8929,8678,8879,80725
206560,2016-12-12,9029,9255,8879,8929,80161
206560,2016-12-13,9104,9104,8829,8980,90691
206560,2016-12-14,9079,9857,9004,9857,156245
206560,2016-12-15,9782,10032,9581,9882,136359
206560,2016-12-16,9581,9907,9581,9832,118960
206560,2016-12-19,9706,9882,9079,9080,225453
206560,2016-12-20,9130,9506,9054,9130,186655
206560,2016-12-21,9850,11350,9460,10000,1991888
206560,2016-12-22,10050,10050,9280,9280,417729
206560,2016-12-23,9350,9460,9070,9100,195854
206560,2016-12-26,9080,9220,8950,8960,143300
206560,2016-12-27,8940,9210,8930,9150,102712
206560,2016-12-28,9050,9430,9050,9380,108126
206560,2016-12-29,9310,9510,9300,9460,41985
206560,2017-01-02,9540,9840,9400,9770,73584
206560,2017-01-03,9880,9900,9700,9870,62641
206560,2017-01-04,9920,9930,9760,9870,52903
206560,2017-01-05,9650,9820,9550,9590,97217
206560,2017-01-06,9590,9710,9510,9600,36068
206560,2017-01-09,9490,9700,9290,9420,218336
206560,2017-01-10,9430,9750,9240,9600,238102
206560,2017-01-11,9570,9600,9370,9380,195168
206560,2017-01-12,9310,9440,9290,9320,119843
206560,2017-01-13,9250,9470,9250,9370,88255
206560,2017-01-16,9290,9480,9200,9400,100695
206560,2017-01-17,9350,9470,9200,9200,123473
206560,2017-01-18,9000,9000,7960,8040,3176677
206560,2017-01-19,8100,8230,8000,8050,389317
206560,2017-01-20,7930,8050,7450,7570,413011
206560,2017-01-23,7420,7650,7400,7400,236736
206560,2017-01-24,7300,7450,7030,7230,315292
206560,2017-01-25,7260,8300,7260,7280,2014409
206560,2017-01-26,7180,7480,7180,7350,191453
206560,2017-01-31,7430,7560,7360,7480,141668
206560,2017-02-01,7390,7770,7390,7600,185061
206560,2017-02-02,7580,7630,7480,7490,134045
206560,2017-02-03,7440,7580,7260,7300,96655
206560,2017-02-06,7270,7430,7230,7350,69167
206560,2017-02-07,7300,7590,7300,7490,67863
206560,2017-02-08,7550,7550,7280,7310,65854
206560,2017-02-09,7250,7410,7180,7350,88386
206560,2017-02-10,7300,7390,7210,7320,86074
206560,2017-02-13,7250,7580,7250,7430,80038
206560,2017-02-14,7430,7640,7420,7550,97076
206560,2017-02-15,7550,7710,7540,7620,91665
206560,2017-02-16,7650,7650,7500,7550,67249
206560,2017-02-17,7500,7690,7500,7600,84957
206560,2017-02-20,7760,7770,7580,7690,133031
206560,2017-02-21,7800,7800,7660,7710,164245
206560,2017-02-22,7660,7750,7520,7630,92565
206560,2017-02-23,7630,7700,7480,7490,140612
206560,2017-02-24,7470,7790,7470,7630,185278
206560,2017-02-27,7630,7650,7300,7310,206634
206560,2017-02-28,7280,7350,7200,7210,96947
206560,2017-03-02,7220,7340,7080,7100,66497
206560,2017-03-03,7050,7130,6740,6780,188709
206560,2017-03-06,6600,6850,6450,6790,182264
206560,2017-03-07,6700,7030,6700,6900,240603
206560,2017-03-08,6840,7020,6840,6900,75616
206560,2017-03-09,6910,7200,6880,7170,243594
206560,2017-03-10,7170,7190,6910,7030,145252
206560,2017-03-13,7060,7160,7000,7060,49692
206560,2017-03-14,7120,7130,6970,6990,68388
206560,2017-03-15,6950,7040,6860,6860,71148
206560,2017-03-16,6850,7010,6770,6880,86250
206560,2017-03-17,6890,7000,6820,6880,85907
206560,2017-03-20,6900,6960,6790,6790,76737
206560,2017-03-21,6790,6940,6670,6750,102790
206560,2017-03-22,6700,6790,6700,6790,42968
206560,2017-03-23,6760,6840,6720,6720,51918
206560,2017-03-24,6630,6680,6600,6620,75658
206560,2017-03-27,6580,6790,6440,6510,150166
206560,2017-03-28,6430,6490,6130,6160,447151
206560,2017-03-29,6170,6260,6120,6160,139772
206560,2017-03-30,6110,6220,6050,6200,221616
206560,2017-03-31,6220,6360,6210,6290,140395
206560,2017-04-03,6240,6490,6240,6490,181132
206560,2017-04-04,6460,6690,6460,6620,186773
206560,2017-04-05,6620,6720,6530,6560,148883
206560,2017-04-06,6570,6700,6510,6690,101224
206560,2017-04-07,6720,6720,6450,6490,170512
206560,2017-04-10,6450,6490,6250,6270,181322
206560,2017-04-11,6270,6390,6170,6220,51979
206560,2017-04-12,6250,6370,6190,6340,81866
206560,2017-04-13,6340,6610,6300,6530,127400
206560,2017-04-14,6480,6940,6430,6730,378409
206560,2017-04-17,6750,6920,6730,6920,229156
206560,2017-04-18,6920,6940,6760,6820,141351
206560,2017-04-19,6820,6900,6710,6820,125517
206560,2017-04-20,6820,6880,6760,6800,112326
206560,2017-04-21,6800,6840,6740,6750,61517
206560,2017-04-24,6750,7420,6680,7170,1475887
206560,2017-04-25,7210,7680,7140,7680,904206
206560,2017-04-26,7780,9300,7540,8570,8157603
206560,2017-04-27,8400,8480,8050,8390,1528470
206560,2017-04-28,8350,8360,8060,8160,781952
206560,2017-05-02,8160,8220,7780,7920,622427
206560,2017-05-04,8000,8030,7840,7960,493805
206560,2017-05-08,8040,8150,7880,8130,624748
206560,2017-05-10,8080,8320,8030,8200,481974
206560,2017-05-11,8180,8260,8100,8200,336995
206560,2017-05-12,8170,8200,7920,7970,366495
206560,2017-05-15,7970,8300,7970,8200,331854
206560,2017-05-16,8070,8550,8070,8450,865685
206560,2017-05-17,8640,8850,8260,8260,884835
206560,2017-05-18,8180,8610,8120,8490,404001
206560,2017-05-19,8600,9220,8410,9080,1813469
206560,2017-05-22,9140,9340,8950,9150,745363
206560,2017-05-23,9250,9250,8810,8810,452241
206560,2017-05-24,8850,9100,8800,8830,323199
206560,2017-05-25,8810,8940,8610,8850,307151
206560,2017-05-26,8860,8880,8740,8750,124559
206560,2017-05-29,8750,8950,8640,8850,188238
206560,2017-05-30,8820,8950,8790,8800,164358
206560,2017-05-31,8750,8810,8530,8750,219795
206560,2017-06-01,8800,9090,8770,8960,415607
206560,2017-06-02,9150,9440,9010,9230,933408
206560,2017-06-05,9200,9200,8830,8830,434693
206560,2017-06-07,8830,9000,8600,8600,265510
206560,2017-06-08,8600,8740,8410,8430,229268
206560,2017-06-09,8550,8800,8460,8600,185179
206560,2017-06-12,8610,8800,8220,8300,204427
206560,2017-06-13,8380,8460,8110,8430,142956
206560,2017-06-14,8490,8980,8460,8970,395141
206560,2017-06-15,8920,9210,8800,8890,304767
206560,2017-06-16,8890,8920,8600,8760,121407
206560,2017-06-19,8780,8790,8360,8420,223945
206560,2017-06-20,8420,8510,8210,8450,169533
206560,2017-06-21,8460,8540,8260,8390,69769
206560,2017-06-22,8450,8450,8200,8200,109040
206560,2017-06-23,8110,8270,7990,8080,163798
206560,2017-06-26,8130,8130,7840,8040,235965
206560,2017-06-27,8050,8300,8040,8250,143560
206560,2017-06-28,8170,8300,8020,8050,119112
206560,2017-06-29,8060,8150,8000,8050,52415
206560,2017-06-30,7990,8390,7880,8310,167406
206560,2017-07-03,8350,8350,8050,8100,193740
206560,2017-07-04,8100,8230,7690,7800,296905
206560,2017-07-05,7790,7860,7630,7840,177092
206560,2017-07-06,7840,7860,7700,7820,94262
206560,2017-07-07,7720,7820,7350,7490,310589
206560,2017-07-10,7370,7430,7030,7050,260563
206560,2017-07-11,6950,7050,6740,6850,373925
206560,2017-07-12,6800,7000,6630,6780,210572
206560,2017-07-13,6780,6870,6740,6760,144859
206560,2017-07-14,6710,6820,6700,6800,97447
206560,2017-07-17,6790,7140,6790,7020,184705
206560,2017-07-18,7000,7020,6730,6840,176281
206560,2017-07-19,6810,6890,6710,6740,136168
206560,2017-07-20,6720,6760,6530,6540,221383
206560,2017-07-21,6520,6720,6400,6690,169734
206560,2017-07-24,6710,6850,6580,6670,194314
206560,2017-07-25,6630,6700,6400,6580,226014
206560,2017-07-26,6580,6650,6490,6560,101105
206560,2017-07-27,6510,6700,6470,6610,87352
206560,2017-07-28,6580,6660,6490,6580,109788
206560,2017-07-31,6540,6620,6450,6500,95299
206560,2017-08-01,6500,6650,6500,6560,100072
206560,2017-08-02,6600,6710,6560,6650,87514
206560,2017-08-03,6630,6720,6470,6590,76562
206560,2017-08-04,6640,6780,6600,6690,146877
206560,2017-08-07,6690,7780,6650,7110,1332186
206560,2017-08-08,7120,7160,6960,7080,234121
206560,2017-08-09,7000,7110,6890,6920,160696
206560,2017-08-10,6850,6950,6790,6920,160973
206560,2017-08-11,6830,6860,6620,6650,133608
206560,2017-08-14,6640,6730,6520,6640,101027
206560,2017-08-16,6520,6610,6410,6570,117304
206560,2017-08-17,6550,7290,6550,6860,1003962
206560,2017-08-18,6840,7190,6730,7160,288899
206560,2017-08-21,7160,7350,7040,7210,189953
206560,2017-08-22,7200,7330,7140,7300,108279
206560,2017-08-23,7400,7400,7260,7300,96571
206560,2017-08-24,7310,7740,7280,7730,390156
206560,2017-08-25,7780,7820,7130,7150,767131
206560,2017-08-28,7240,7240,7040,7130,164940
206560,2017-08-29,7020,7160,7000,7070,142544
206560,2017-08-30,7050,7230,7050,7150,137431
206560,2017-08-31,7150,7200,7050,7120,81303
206560,2017-09-01,7130,7370,7050,7270,203417
206560,2017-09-04,7040,7180,7020,7040,169025
206560,2017-09-05,7040,7110,6890,6900,103823
206560,2017-09-06,6830,6910,6750,6800,124007
206560,2017-09-07,6830,6890,6740,6870,74276
206560,2017-09-08,6840,6880,6710,6780,51976
206560,2017-09-11,6830,6840,6740,6820,35329
206560,2017-09-12,6850,6950,6800,6920,42895
206560,2017-09-13,7000,7260,6990,7200,145931
206560,2017-09-14,7200,7250,7120,7170,46074
206560,2017-09-15,7170,7200,7000,7100,58593
206560,2017-09-18,7150,7180,7010,7150,87787
206560,2017-09-19,7130,7210,7110,7210,44596
206560,2017-09-20,7210,7520,7210,7400,249683
206560,2017-09-21,7410,7450,7100,7240,110491
206560,2017-09-22,7280,7280,7080,7080,104885
206560,2017-09-25,7030,7030,6820,6820,86831
206560,2017-09-26,6650,7280,6650,7230,195221
206560,2017-09-27,7470,7490,7240,7310,141193
206560,2017-09-28,7310,7370,7120,7180,110462
206560,2017-09-29,7230,7440,7150,7440,127151
206560,2017-10-10,7470,7570,7350,7530,156377
206560,2017-10-11,7570,7660,7520,7610,120934
206560,2017-10-12,7510,7610,7340,7440,162043
206560,2017-10-13,7380,7460,7300,7450,84220
206560,2017-10-16,7410,7760,7330,7760,226660
206560,2017-10-17,7730,7900,7660,7830,204902
206560,2017-10-18,7900,8070,7760,7930,370256
206560,2017-10-19,7930,8000,7770,7860,135792
206560,2017-10-20,7880,7950,7810,7900,60084
206560,2017-10-23,7980,8060,7770,7810,201809
206560,2017-10-24,7830,8070,7770,8040,159645
206560,2017-10-25,8090,8140,8000,8060,112503
206560,2017-10-26,8000,8190,8000,8130,214675
206560,2017-10-27,8200,8330,8170,8280,174776
206560,2017-10-30,8400,8440,8110,8140,280582
206560,2017-10-31,8130,8230,8090,8210,91934
206560,2017-11-01,8210,8250,8070,8170,101727
206560,2017-11-02,8180,8180,7910,7950,159968
206560,2017-11-03,7960,8050,7890,7980,73947
206560,2017-11-06,8100,8130,7940,8000,64280
206560,2017-11-07,8000,8070,7890,7950,55458
206560,2017-11-08,7950,7950,7710,7730,179811
206560,2017-11-09,7730,7900,7730,7890,56057
206560,2017-11-10,8040,8270,7920,7980,230409
206560,2017-11-13,8080,8360,7870,8320,351305
206560,2017-11-14,8450,8740,8400,8600,580255
206560,2017-11-15,8500,8770,8410,8590,286059
206560,2017-11-16,8700,8750,8530,8600,185578
206560,2017-11-17,8570,9080,8500,8870,620322
206560,2017-11-20,8950,8950,8760,8780,284363
206560,2017-11-21,8780,8800,8410,8460,314836
206560,2017-11-22,8400,8660,8330,8650,259365
206560,2017-11-23,8710,8890,8690,8860,293378
206560,2017-11-24,8900,8900,8610,8740,186526
206560,2017-11-27,9000,9170,8690,8830,372855
206560,2017-11-28,8880,8910,8590,8670,191646
206560,2017-11-29,8660,8750,8490,8640,168392
206560,2017-11-30,8670,8690,8370,8390,177962
206560,2017-12-01,8500,8520,8250,8400,200527
206560,2017-12-04,8450,8500,7990,8300,412237
206560,2017-12-05,8300,8650,8220,8640,239649
206560,2017-12-06,8670,8790,8600,8790,221388
206560,2017-12-07,8840,8860,8350,8430,229437
206560,2017-12-08,8490,8660,8380,8380,162588
206560,2017-12-11,8500,8700,8380,8680,141832
206560,2017-12-12,8710,8750,8440,8550,179889
206560,2017-12-13,8650,8920,8450,8890,466280
206560,2017-12-14,8860,8900,8600,8800,260429
206560,2017-12-15,8750,9350,8740,9290,1037209
206560,2017-12-18,9380,9430,9070,9130,510131
206560,2017-12-19,9030,9120,8440,8640,806456
206560,2017-12-20,8660,9090,8590,9000,740993
206560,2017-12-21,9050,9520,8870,8990,1519216
206560,2017-12-22,8900,9270,8560,8820,664689
206560,2017-12-26,9550,9630,8750,8900,1679146
206560,2017-12-27,9010,9580,8880,9280,1617662
206560,2017-12-28,9400,9960,9400,9960,2531467
206560,2018-01-02,10650,11100,10250,10550,3133144
206560,2018-01-03,10500,10950,10050,10950,1945905
206560,2018-01-04,11100,11150,10250,10400,1289049
206560,2018-01-05,10600,10900,10300,10800,857629
206560,2018-01-08,10900,11250,10650,11000,1100840
206560,2018-01-09,11200,11600,10850,11250,1146640
206560,2018-01-10,11250,11450,11050,11350,645253
206560,2018-01-11,11250,11300,10450,10450,1237756
206560,2018-01-12,10650,10750,10150,10500,751392
206560,2018-01-15,10550,10600,10200,10250,472386
206560,2018-01-16,10100,10450,9990,10350,428745
206560,2018-01-17,10400,11450,10300,11450,1705772
206560,2018-01-18,11450,11600,11100,11550,876667
206560,2018-01-19,11400,11950,11150,11650,814170
206560,2018-01-22,11600,11900,11100,11250,653626
206560,2018-01-23,11300,11350,11000,11150,414315
206560,2018-01-24,11200,11300,10800,11050,387902
206560,2018-01-25,11100,11200,10850,11200,365909
206560,2018-01-26,11100,11650,11100,11500,552072
206560,2018-01-29,11650,12100,11350,11850,870026
206560,2018-01-30,11900,12150,11400,11600,457667
206560,2018-01-31,11400,11500,10950,11150,602441
206560,2018-02-01,11200,11400,10850,11300,344955
206560,2018-02-02,11250,11350,10950,11050,295146
206560,2018-02-05,10700,11100,10600,10800,310580
206560,2018-02-06,10150,10800,10150,10600,677641
206560,2018-02-07,10950,11050,10600,10600,456046
206560,2018-02-08,10600,11950,10600,11550,1380758
206560,2018-02-09,11000,11350,10900,11250,461844
206560,2018-02-12,11250,11350,10850,10900,313774
206560,2018-02-13,10950,11050,10500,10600,280226
206560,2018-02-14,10650,10700,10050,10300,559895
206560,2018-02-19,10400,10650,10300,10500,246892
206560,2018-02-20,10550,10600,10200,10300,206437
206560,2018-02-21,10300,10900,10200,10750,290348
206560,2018-02-22,10650,10700,10300,10450,181334
206560,2018-02-23,10400,10550,10250,10500,160753
206560,2018-02-26,10500,10600,10200,10250,155306
206560,2018-02-27,10250,10300,9650,9800,707186
206560,2018-02-28,9620,10200,9620,9730,313123
206560,2018-03-02,9570,10050,9570,9940,176263
206560,2018-03-05,9850,10200,9570,9580,308501
206560,2018-03-06,9600,9900,9600,9850,182068
206560,2018-03-07,9850,9870,9330,9340,237189
206560,2018-03-08,9450,9700,9410,9430,176849
206560,2018-03-09,9410,9730,9390,9510,191806
206560,2018-03-12,9620,9950,9540,9810,176774
206560,2018-03-13,9760,9880,9640,9750,148790
206560,2018-03-14,9650,9820,9590,9720,115783
206560,2018-03-15,9690,10200,9650,10150,270504
206560,2018-03-16,10150,10150,9950,10050,108114
206560,2018-03-19,10050,10250,9930,10050,143699
206560,2018-03-20,9860,10000,9800,9960,137773
206560,2018-03-21,10100,10100,9880,9920,146627
206560,2018-03-22,9930,9970,9840,9840,136603
206560,2018-03-23,9730,9730,9050,9200,310821
206560,2018-03-26,9110,9480,8930,9470,220296
206560,2018-03-27,9600,9920,9480,9860,209509
206560,2018-03-28,9010,9070,8530,8560,3441189
206560,2018-03-29,8740,9540,8490,8930,2754949
206560,2018-03-30,9130,9250,8320,8880,472582
206560,2018-04-02,9290,9800,9180,9410,1371402
