Symbol,Date,Open,High,Low,Close,Volume
015350,1999-01-08,26629,26629,24171,24662,88440
015350,1999-01-11,24662,25482,24662,24989,75570
015350,1999-01-12,25400,25482,24744,25235,36400
015350,1999-01-13,24826,25236,24334,24580,42430
015350,1999-01-14,24171,24171,22778,23187,31010
015350,1999-01-15,22778,24007,22532,23760,18580
015350,1999-01-18,20484,24253,20484,23351,29520
015350,1999-01-19,23761,24171,22942,23105,25060
015350,1999-01-20,22942,22942,20484,22122,48490
015350,1999-01-21,21713,22450,21713,21794,26730
015350,1999-01-22,21795,23351,21631,22941,43440
015350,1999-01-25,23351,23351,22532,22531,21720
015350,1999-01-26,22778,23105,22532,22531,22630
015350,1999-01-27,22614,23351,22614,23351,45010
015350,1999-01-28,23515,23597,22942,23269,40230
015350,1999-01-29,23269,24089,23269,23842,27810
015350,1999-02-01,23761,24171,23105,24170,14900
015350,1999-02-02,23351,23761,22942,22941,8690
015350,1999-02-03,22942,23679,22778,22941,21580
015350,1999-02-04,22942,22942,22942,22941,16760
015350,1999-02-05,22942,23024,22942,23023,12490
015350,1999-02-08,22942,22983,22942,22941,12980
015350,1999-02-09,22942,23351,22532,23351,18770
015350,1999-02-10,23351,24171,22983,23842,19380
015350,1999-02-11,23925,24089,23761,23842,20950
015350,1999-02-12,23843,24826,23843,24416,42420
015350,1999-02-18,24580,24580,23843,24416,11300
015350,1999-02-19,23925,24089,23105,23842,18910
015350,1999-02-22,23843,24416,23761,24416,14620
015350,1999-02-23,24416,24498,23925,24498,9640
015350,1999-02-24,24498,25236,24498,24498,38930
015350,1999-02-25,24416,24580,23187,24375,45060
015350,1999-02-26,24089,24375,23761,24006,4930
015350,1999-03-02,24334,24334,23515,24170,2810
015350,1999-03-03,23761,24171,23024,23924,640
015350,1999-03-04,23925,23925,23187,23351,3240
015350,1999-03-05,23105,23105,22778,22777,7610
015350,1999-03-08,22942,23351,22614,22818,26940
015350,1999-03-09,23269,23269,22614,22613,9100
015350,1999-03-10,22696,23187,22532,22941,11890
015350,1999-03-11,22942,23351,22778,22941,53530
015350,1999-03-12,22942,24089,22942,23310,8080
015350,1999-03-15,23761,24539,23679,24252,37300
015350,1999-03-16,24580,24867,23966,24867,54280
015350,1999-03-17,24990,25318,24416,24580,13940
015350,1999-03-18,24007,24580,24007,24580,15580
015350,1999-03-19,24580,25809,24580,25481,21340
015350,1999-03-22,25482,26219,25482,26218,28040
015350,1999-03-23,26219,26629,25809,26137,12300
015350,1999-03-24,25482,25809,24990,25071,9950
015350,1999-03-25,24949,24949,24253,24252,12520
015350,1999-03-26,24294,24580,23761,24006,9870
015350,1999-03-29,24089,24089,23597,23597,7400
015350,1999-03-30,23761,24498,23761,24498,5620
015350,1999-03-31,24580,24580,23761,24498,8390
015350,1999-04-01,24498,25809,24498,24662,201500
015350,1999-04-02,24990,25809,24662,24989,73160
015350,1999-04-06,24949,25154,24416,24989,157110
015350,1999-04-07,25482,25564,24826,24989,68010
015350,1999-04-08,24990,25809,24826,25645,68330
015350,1999-04-09,26055,26793,25645,26218,117160
015350,1999-04-12,26219,26629,25809,26587,82210
015350,1999-04-13,26588,26874,26219,26218,66600
015350,1999-04-14,25891,26219,25809,26218,55680
015350,1999-04-15,26219,27448,25973,26300,76190
015350,1999-04-16,26629,27284,26219,26218,46010
015350,1999-04-19,26301,27858,26219,27447,59630
015350,1999-04-20,27448,27776,26301,27611,37850
015350,1999-04-21,28267,30070,28022,29987,180220
015350,1999-04-22,29906,30316,28349,29086,46770
015350,1999-04-23,29087,29087,27858,27857,34360
015350,1999-04-26,27858,27858,27038,27857,35060
015350,1999-04-27,27202,27612,26793,27202,26970
015350,1999-04-28,27284,28595,26793,27038,48960
015350,1999-04-29,27858,30971,27202,29086,110850
015350,1999-04-30,29414,30316,28677,29496,30410
015350,1999-05-03,31135,31135,29496,30233,25810
015350,1999-05-04,29251,30316,28759,29496,34820
015350,1999-05-06,29496,30561,29087,29660,53980
015350,1999-05-07,29742,30398,28431,28431,44560
015350,1999-05-10,28677,29414,28185,28677,60050
015350,1999-05-11,28677,29496,27858,28349,65440
015350,1999-05-12,28349,28595,26547,26792,36800
015350,1999-05-13,26301,27038,25809,25809,36860
015350,1999-05-14,25400,26055,24826,25071,41060
015350,1999-05-17,25072,25318,24171,24252,17700
015350,1999-05-18,24253,24416,23597,24170,28540
015350,1999-05-19,24990,25277,24171,25276,41180
015350,1999-05-20,25277,25277,24253,24744,50790
015350,1999-05-21,25400,25482,24744,25153,21920
015350,1999-05-24,25604,25604,24253,24580,14830
015350,1999-05-25,23843,26301,23843,26218,121360
015350,1999-05-26,26219,26301,25318,25932,17590
015350,1999-05-27,26178,26178,24580,24989,48530
015350,1999-05-28,24580,24826,24253,24580,31840
015350,1999-05-31,24416,24826,24416,24498,15450
015350,1999-06-01,24580,25318,24253,24498,17730
015350,1999-06-02,24580,24662,24334,24580,37460
015350,1999-06-03,24580,24949,23843,24416,35140
015350,1999-06-04,24580,24580,23843,24006,48650
015350,1999-06-07,24826,25564,24498,24580,165040
015350,1999-06-08,24990,24990,24089,24170,59570
015350,1999-06-09,24171,24580,23925,24580,51950
015350,1999-06-10,24539,24580,24007,24539,94840
015350,1999-06-11,24580,24580,23966,24088,49770
015350,1999-06-14,23925,24089,23474,23474,16870
015350,1999-06-15,23187,23351,22040,22409,63570
015350,1999-06-16,22532,23351,22532,22777,39560
